TimeNav,Azimuth,GaragNumb,Graph,Latitude,Longitude,Marsh,Speed,TimeNav,dist,dist_delta
2020-11-08 12:17:00,344,2775,1,55.830362,49.092353,22,0,2020-11-08 12:17:00,0.04632962637449092,0.0
2020-11-08 12:18:00,325,2775,1,55.831125,49.091667,22,1,2020-11-08 12:18:00,0.04735560048188575,0.001025974107394828
2020-11-08 12:18:00,325,2775,1,55.831125,49.091667,22,1,2020-11-08 12:18:00,0.04735560048188575,0.0
2020-11-08 12:19:00,258,2775,1,55.829598,49.08241500000001,22,53,2020-11-08 12:19:00,0.05307888035743472,0.005723279875548971
2020-11-08 12:19:00,258,2775,1,55.829598,49.08241500000001,22,53,2020-11-08 12:19:00,0.05307888035743472,0.0
2020-11-08 12:20:00,337,2775,1,55.830527000000004,49.080868,22,9,2020-11-08 12:20:00,0.0548668184789319,0.0017879381214971762
2020-11-08 12:20:00,337,2775,1,55.830527000000004,49.080868,22,9,2020-11-08 12:20:00,0.0548668184789319,0.0
2020-11-08 12:21:00,278,2775,1,55.8335,49.080147,22,10,2020-11-08 12:21:00,0.057316587756079666,0.0024497692771477675
2020-11-08 12:21:00,278,2775,1,55.8335,49.080147,22,10,2020-11-08 12:21:00,0.057316587756079666,0.0
2020-11-08 12:22:00,277,2775,1,55.833496999999994,49.078465,22,0,2020-11-08 12:22:00,0.058603870153766044,0.0012872823976863776
2020-11-08 12:22:00,277,2775,1,55.833496999999994,49.078465,22,0,2020-11-08 12:22:00,0.058603870153766044,0.0
2020-11-08 12:23:00,256,2775,1,55.833332999999996,49.07402800000001,22,16,2020-11-08 12:23:00,0.06199685038772918,0.0033929802339631374
2020-11-08 12:23:00,256,2775,1,55.833332999999996,49.07402800000001,22,16,2020-11-08 12:23:00,0.06199685038772918,0.0
2020-11-08 12:24:00,266,2775,1,55.833321999999995,49.069882,22,13,2020-11-08 12:24:00,0.06536146354695328,0.0033646131592241016
2020-11-08 12:24:00,266,2775,1,55.833321999999995,49.069882,22,13,2020-11-08 12:24:00,0.06536146354695328,0.0
2020-11-08 12:25:00,269,2775,1,55.83314300000001,49.062132,22,37,2020-11-08 12:25:00,0.07178866547025874,0.006427201923305453
2020-11-08 12:25:00,269,2775,1,55.83314300000001,49.062132,22,37,2020-11-08 12:25:00,0.07178866547025874,0.0
2020-11-08 12:26:00,246,2775,1,55.83251800000001,49.055409999999995,22,33,2020-11-08 12:26:00,0.07733848721691701,0.005549821746658273
2020-11-08 12:26:00,246,2775,1,55.83251800000001,49.055409999999995,22,33,2020-11-08 12:26:00,0.07733848721691701,0.0
2020-11-08 12:27:00,231,2775,1,55.830187,49.047818,22,29,2020-11-08 12:27:00,0.0831428859855142,0.005804398768597188
2020-11-08 12:27:00,231,2775,1,55.830187,49.047818,22,29,2020-11-08 12:27:00,0.0831428859855142,0.0
2020-11-08 12:28:00,182,2775,1,55.826398,49.042833,22,13,2020-11-08 12:28:00,0.08632393230153237,0.0031810463160181768
2020-11-08 12:28:00,182,2775,1,55.826398,49.042833,22,13,2020-11-08 12:28:00,0.08632393230153237,0.0
2020-11-08 12:29:00,283,2775,1,55.8254,49.037965,22,40,2020-11-08 12:29:00,0.09057601300565235,0.004252080704119976
2020-11-08 12:29:00,283,2775,1,55.8254,49.037965,22,40,2020-11-08 12:29:00,0.09057601300565235,0.0
2020-11-08 12:30:00,189,2775,1,55.825902,49.032607,22,1,2020-11-08 12:30:00,0.09581901299846571,0.0052429999928133575
2020-11-08 12:30:00,189,2775,1,55.825902,49.032607,22,1,2020-11-08 12:30:00,0.09581901299846571,0.0
2020-11-08 12:31:00,96,2775,1,55.822306999999995,49.03223,22,37,2020-11-08 12:31:00,0.09513172952280417,0.0006872834756615348
2020-11-08 12:31:00,96,2775,1,55.822306999999995,49.03223,22,37,2020-11-08 12:31:00,0.09513172952280417,0.0
2020-11-08 12:32:00,111,2775,1,55.822157999999995,49.033012,22,0,2020-11-08 12:32:00,0.0943388302079254,0.0007928993148787755
2020-11-08 12:32:00,111,2775,1,55.822157999999995,49.033012,22,0,2020-11-08 12:32:00,0.0943388302079254,0.0
2020-11-08 12:33:00,111,2775,1,55.822157999999995,49.033012,22,0,2020-11-08 12:33:00,0.0943388302079254,0.0
2020-11-08 12:33:00,111,2775,1,55.822157999999995,49.033012,22,0,2020-11-08 12:33:00,0.0943388302079254,0.0
2020-11-08 12:34:00,111,2775,1,55.822157999999995,49.033012,22,0,2020-11-08 12:34:00,0.0943388302079254,0.0
2020-11-08 12:34:00,111,2775,1,55.822157999999995,49.033012,22,0,2020-11-08 12:34:00,0.0943388302079254,0.0
2020-11-08 12:35:00,111,2775,1,55.822157999999995,49.033012,22,0,2020-11-08 12:35:00,0.0943388302079254,0.0
2020-11-08 12:35:00,111,2775,1,55.822157999999995,49.033012,22,0,2020-11-08 12:35:00,0.0943388302079254,0.0
2020-11-08 12:36:00,111,2775,1,55.822157999999995,49.033012,22,0,2020-11-08 12:36:00,0.0943388302079254,0.0
